"Prayer For Wisdom","Dear Lord, I come before you today to pray for wisdom. Your word says that your people perish due to lack of knowledge and I know that knowledge is wisdom. I pray that you make me wise in all the decisions I make today, so that all my choices may be guided by you. Bless me O Lord like you did to King Solomon so that I may walk among wise men and be an instrument of change through the wisdom you give to me today. Amen.",1
"Prayer For Purpose","Lord Almighty, you created each being in this world and gave us the power over them. As I walk my course in this world, do not let me perish before realizing the purpose for my existence. Guide me O Lord so that I may live a purposeful life and complete my earthly mission of holiness and faithfulness to your word. I ask you this through Jesus Christ my Lord, Amen.",2
"Prayer For Blessings","Heavenly Father, may you open the gates of heaven and shower me with your blessings in abundance. As I offer you praise and worship today, Lord I ask for your blessings upon my life. Dear Lord, may you bless me so I may become someone else's blessing. I am not asking for too much lest pride get the better of me; give me just enough to be able to stay in your glory. Amen.",3
"Prayer For Health","My heart is weak and my body is in pain. Restore my health O Lord and do not let me perish in the plans of the evil one. Just like Job in the Holy Bible, I receive my healing from you. Please do not let the devil triumph over my health because I know there is no other supreme healer than you. It is through Jesus name that I pray and believe, Amen. ",4
"Prayer For Forgiveness","I have fallen short of your glory dear God, please forgive me. I have ignored your teachings and broken your commandments. Now I realize I was wrong and that you alone are worthy to be praised, worshipped and obeyed. Forgive my sins and do not count them against me. I truly regret my wrongs and confess them to you. Make me whole and righteous once again so that I may fit in your glory, through Christ our Lord and Saviour, Amen. ",5
"Prayer For Daily Bread","Almighty God, creator of heaven and earth; you feed the birds of the air and cloth the water lilies. May you provide me with my daily bread because I know all good things come from you. Do not let me go hungry, O Lord. Give me food to eat and water to quench my thirst. Give me energy to work hard for your word discourages laziness. As I work hard, may it not be in vain because I look up to you for my daily bread. Amen. ",6
"Prayer For God's Favour","I seek favour in your eyes O Lord throughout this day. Help me find what I yearn for, as long as it pleases you. This I ask of you through Jesus Christ. Amen.",7
"Prayer For Children","Thank you Lord for my sons and daughters. They bring joy and blessings to this home. Dear Lord, as they begin their day, I pray that you will watch over them. May they uphold your teachings and do the things that please you. May they grow up to be God-fearing children and pass the same values to their future sons and daughters. I say this short prayer in Jesus' name, Amen.",8
"Prayer For Business","As I open up my business this morning O Lord, I pray that you will bless and protect it. Give me the power to communicate well with my workers and clients, and don't let greed and corruption take over me. Nourish this business and make it prosper in your name. May it satisfy all our clients and bring many more. Amen. ",9
"Prayer For Spouse","Lord, I thank you for my partner. I commit him/her to you this morning as we prepare to begin the day. Deliver him/her from temptations, and may we remember our vows to each other, and to you. Keep us faithful to each other so that we may build a home that is committed to worshiping you. Thank you for helping us find love in each other. May you nourish it and make it grow according to your teachings. It is through Christ our saviour that I say this short prayer, Amen.  ",10
